keyword_id,keyword,keyword_type,category,subcategory,priority,active,notes
KW0078,black authors,representation,Diversity & Representation,Race & Ethnicity,secondary,TRUE,
KW0079,black literature,representation,Diversity & Representation,Race & Ethnicity,secondary,TRUE,
KW0080,african american literature,representation,Diversity & Representation,Race & Ethnicity,secondary,TRUE,
KW0081,asian authors,representation,Diversity & Representation,Race & Ethnicity,secondary,TRUE,
KW0082,asian literature,representation,Diversity & Representation,Race & Ethnicity,secondary,TRUE,
KW0083,latinx authors,representation,Diversity & Representation,Race & Ethnicity,secondary,TRUE,
KW0084,indigenous authors,representation,Diversity & Representation,Indigenous Literature,core,TRUE,
KW0085,indigenous literature,representation,Diversity & Representation,Indigenous Literature,core,TRUE,
KW0086,native american literature,representation,Diversity & Representation,Indigenous Literature,secondary,TRUE,
KW0087,indigenous reading list,representation,Diversity & Representation,Indigenous Literature,secondary,TRUE,
KW0088,queer books,representation,Diversity & Representation,LGBTQ+,secondary,TRUE,
KW0089,queer literature,representation,Diversity & Representation,LGBTQ+,secondary,TRUE,
KW0090,LGBTQ books,representation,Diversity & Representation,LGBTQ+,secondary,TRUE,
KW0091,lesbian books,representation,Diversity & Representation,LGBTQ+,secondary,TRUE,
KW0092,gay books,representation,Diversity & Representation,LGBTQ+,secondary,TRUE,
KW0093,trans books,representation,Diversity & Representation,LGBTQ+,secondary,TRUE,
KW0094,disability books,representation,Diversity & Representation,Disability & Neurodiversity,secondary,TRUE,
KW0095,disabled authors,representation,Diversity & Representation,Disability & Neurodiversity,secondary,TRUE,
KW0096,neurodivergent books,representation,Diversity & Representation,Disability & Neurodiversity,secondary,TRUE,
KW0097,autism books,representation,Diversity & Representation,Disability & Neurodiversity,secondary,TRUE,
KW0098,feminist fiction,representation,Diversity & Representation,Feminist Literature,secondary,TRUE,
KW0099,feminist literature,representation,Diversity & Representation,Feminist Literature,secondary,TRUE,
KW0100,women authors,representation,Diversity & Representation,Feminist Literature,secondary,TRUE,
KW0101,decolonized reading list,critical_reading,Decolonial & Critical Reading,Decolonial,core,TRUE,
KW0102,decolonial books,critical_reading,Decolonial & Critical Reading,Decolonial,secondary,TRUE,
KW0103,decolonizing literature,critical_reading,Decolonial & Critical Reading,Decolonial,secondary,TRUE,
KW0104,anti colonial books,critical_reading,Decolonial & Critical Reading,Decolonial,secondary,TRUE,
KW0105,critical theory books,critical_reading,Decolonial & Critical Reading,Critical Theory,secondary,TRUE,
KW0106,postcolonial literature,critical_reading,Decolonial & Critical Reading,Critical Theory,secondary,TRUE,
KW0107,feminist theory books,critical_reading,Decolonial & Critical Reading,Critical Theory,secondary,TRUE,
KW0108,intersectional feminism books,critical_reading,Decolonial & Critical Reading,Critical Theory,secondary,TRUE,
KW0109,comfort reads,mood,Mood-Based Reading,Comfort,core,TRUE,
KW0110,cozy books,mood,Mood-Based Reading,Comfort,core,TRUE,
KW0111,books that feel like a hug,mood,Mood-Based Reading,Comfort,core,TRUE,
KW0112,books for anxiety,mood,Mood-Based Reading,Mental Health,secondary,TRUE,
KW0113,books for burnout,mood,Mood-Based Reading,Mental Health,secondary,TRUE,
KW0114,healing fiction,mood,Mood-Based Reading,Mental Health,secondary,TRUE,
KW0115,sad books,mood,Mood-Based Reading,Emotional Experience,secondary,TRUE,
KW0116,devastating books,mood,Mood-Based Reading,Emotional Experience,secondary,TRUE,
KW0117,heartbreaking books,mood,Mood-Based Reading,Emotional Experience,secondary,TRUE,
KW0118,uplifting books,mood,Mood-Based Reading,Emotional Experience,secondary,TRUE,
KW0119,hopeful books,mood,Mood-Based Reading,Emotional Experience,secondary,TRUE,
KW0120,escapist books,mood,Mood-Based Reading,Emotional Experience,secondary,TRUE,
KW0121,cottagecore books,aesthetic_style,Aesthetic & Style-Based Reading,Cottagecore,secondary,TRUE,
KW0122,cottagecore reading,aesthetic_style,Aesthetic & Style-Based Reading,Cottagecore,secondary,TRUE,
KW0123,dark academia books,aesthetic_style,Aesthetic & Style-Based Reading,Academia,secondary,TRUE,
KW0124,light academia books,aesthetic_style,Aesthetic & Style-Based Reading,Academia,secondary,TRUE,
KW0125,gothic books,aesthetic_style,Aesthetic & Style-Based Reading,Gothic,secondary,TRUE,
KW0126,nature writing,aesthetic_style,Aesthetic & Style-Based Reading,Nature,secondary,TRUE,
KW0127,forest books,aesthetic_style,Aesthetic & Style-Based Reading,Nature,secondary,TRUE,
KW0128,solarpunk books,aesthetic_style,Aesthetic & Style-Based Reading,Hopepunk & Solarpunk,secondary,TRUE,
KW0129,hopepunk books,aesthetic_style,Aesthetic & Style-Based Reading,Hopepunk & Solarpunk,secondary,TRUE,
KW0130,enemies to lovers,trope,Trope Intelligence,Romance,core,TRUE,
KW0131,found family,trope,Trope Intelligence,Fantasy / General Fiction,core,TRUE,
KW0132,chosen one,trope,Trope Intelligence,Fantasy / General Fiction,secondary,TRUE,
KW0133,morally grey,trope,Trope Intelligence,Fantasy / General Fiction,secondary,TRUE,
KW0134,slow burn,trope,Trope Intelligence,Romance,core,TRUE,
KW0135,second chance romance,trope,Trope Intelligence,Romance,secondary,TRUE,
KW0136,fake dating,trope,Trope Intelligence,Romance,secondary,TRUE,
KW0137,grumpy sunshine,trope,Trope Intelligence,Romance,secondary,TRUE,
KW0138,touch her and die,trope,Trope Intelligence,Romance,secondary,TRUE,
KW0139,one bed trope,trope,Trope Intelligence,Romance,secondary,TRUE,
KW0140,academy setting,trope,Trope Intelligence,Fantasy / General Fiction,secondary,TRUE,
KW0141,booktok,community_behavior,Reading Community Behavior,BookTok,core,TRUE,
KW0142,fantasy booktok,community_behavior,Reading Community Behavior,BookTok,secondary,TRUE,
KW0143,romantasy booktok,community_behavior,Reading Community Behavior,BookTok,secondary,TRUE,
KW0144,sci fi booktok,community_behavior,Reading Community Behavior,BookTok,secondary,TRUE,
KW0145,booktube,community_behavior,Reading Community Behavior,BookTube,core,TRUE,
KW0146,fantasy booktube,community_behavior,Reading Community Behavior,BookTube,secondary,TRUE,
KW0147,reading vlog,community_behavior,Reading Community Behavior,BookTube,core,TRUE,
KW0148,reading wrap up,community_behavior,Reading Community Behavior,BookTube,core,TRUE,
KW0149,monthly reading wrap up,community_behavior,Reading Community Behavior,BookTube,secondary,TRUE,
KW0150,reading journal,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0151,reading tracker,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0152,reading challenge,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0153,52 books challenge,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0154,book haul,community_behavior,Reading Community Behavior,Book Buying,secondary,TRUE,
KW0155,bookstore vlog,community_behavior,Reading Community Behavior,Book Buying,secondary,TRUE,
KW0156,used book haul,community_behavior,Reading Community Behavior,Book Buying,secondary,TRUE,
KW0157,bookshelf tour,community_behavior,Reading Community Behavior,Collection,secondary,TRUE,
KW0158,home library,community_behavior,Reading Community Behavior,Collection,secondary,TRUE,
KW0159,Hugo Awards,award,Awards,Science Fiction & Fantasy Awards,exploratory,TRUE,
KW0160,Nebula Awards,award,Awards,Science Fiction & Fantasy Awards,exploratory,TRUE,
KW0161,World Fantasy Award,award,Awards,Science Fiction & Fantasy Awards,exploratory,TRUE,
KW0162,Arthur C Clarke Award,award,Awards,Science Fiction & Fantasy Awards,exploratory,TRUE,
KW0163,Locus Awards,award,Awards,Science Fiction & Fantasy Awards,exploratory,TRUE,
KW0164,Brandon Sanderson,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0165,Sarah J. Maas,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0166,Rebecca Yarros,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0167,T. Kingfisher,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0168,Martha Wells,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0169,Becky Chambers,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0170,N. K. Jemisin,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0171,Ursula K. Le Guin,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0172,Octavia Butler,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0173,Emily Henry,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0174,Taylor Jenkins Reid,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0175,Colleen Hoover,author,Author Intelligence,Seed Authors,exploratory,TRUE,Seed list; expand based on dashboard focus and YouTube results.
KW0176,ya books,genre,Fiction Genres,Young Adult,core,TRUE,
KW0177,young adult books,genre,Fiction Genres,Young Adult,secondary,TRUE,
KW0178,ya fantasy,genre,Fiction Genres,Young Adult,secondary,TRUE,
KW0179,women's fiction,genre,Fiction Genres,Women's Fiction,secondary,TRUE,
KW0180,chick lit,genre,Fiction Genres,Women's Fiction,secondary,TRUE,
KW0181,classic books,genre,Fiction Genres,Classics,secondary,TRUE,
KW0182,memoir,nonfiction_topic,Nonfiction,Memoir,core,TRUE,Major publishing category; missing from original registry
KW0183,self help,nonfiction_topic,Nonfiction,Self Help,secondary,TRUE,Distinct from self improvement books and habit books
KW0184,latinx books,representation,Diversity & Representation,Latinx Literature,secondary,TRUE,
KW0185,latinx authors,representation,Diversity & Representation,Latinx Literature,secondary,TRUE,
KW0186,kobo ereader,platform,Platform Intelligence,Kobo,core,TRUE,Primary client platform — direct brand signal
KW0187,kobo books,platform,Platform Intelligence,Kobo,core,TRUE,Purchase and discovery behavior on Kobo
KW0188,kindle books,platform,Platform Intelligence,Kindle,core,TRUE,Competitor signal — Amazon Kindle
KW0189,kindle reading,platform,Platform Intelligence,Kindle,secondary,TRUE,
KW0190,goodreads,platform,Platform Intelligence,Goodreads,core,TRUE,Largest book social platform; strong community signal
KW0191,storygraph,platform,Platform Intelligence,StoryGraph,core,TRUE,Goodreads alternative; growing among BookTok audience
KW0192,hardcover app,platform,Platform Intelligence,Hardcover,secondary,TRUE,Emerging Goodreads alternative
KW0193,book of the month club,platform,Platform Intelligence,Book of the Month,secondary,TRUE,Spelled in full to avoid BOM abbreviation noise
KW0194,currently reading,community_behavior,Reading Community Behavior,Reading Habits,core,TRUE,
KW0195,reading community,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0196,tbr,community_behavior,Reading Community Behavior,Reading Habits,core,TRUE,To Be Read — high community signal
KW0197,am reading,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0198,now reading,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0199,reading goals,community_behavior,Reading Community Behavior,Reading Habits,secondary,TRUE,
KW0200,book of the month,community_behavior,Reading Community Behavior,Book Subscription,secondary,TRUE,Generic subscription box signal; distinct from BOTM club
KW0201,fae fantasy,genre,Fiction Genres,Fantasy,core,TRUE,Closely tied to romantasy wave; high BookTok signal
KW0202,diverse fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,Acquisition-relevant representation signal
KW0203,LitRPG,genre,Fiction,Fantasy,secondary,TRUE,
KW0204,kobo,platform,Platform Intelligence,Kobo,core,TRUE,
